# NF270 ion rejections vs transmembrane flux -- the paper's FIGURES 1-4, DIGITISED
#
# SOURCE PAPER:
#   M. Fernandez de Labastida, A. Yaroshchuk, "Nanofiltration of Multi-Ion Solutions:
#   Quantitative Control of Concentration Polarization and Interpretation by
#   Solution-Diffusion-Electro-Migration Model", Membranes 11 (2021) 272.
#   DOI: 10.3390/membranes11040272   Licence: CC BY 4.0.
#   Feeds: dominant salt 0.01 mol/L (NaCl, MgCl2, Na2SO4, MgSO4) + trace salts 2e-4 mol/L
#   (NaNO3, NH4Cl); 20 C; 2-14 bar; rotating-disk cell, rejections CP-corrected (intrinsic).
#
# HOW: read off the publisher's 2460 px panels by bin/curate/digitise_fdl2021.py -- that
# script's header states the method, the calibration check and what the reading error means.
# Regenerate with `bin/curate/digitise_fdl2021.py --download`.
# f = 1/(1-R) (reciprocal intrinsic transmission); R = 1 - 1/f.  f_exp is the SYMBOL (the
# measurement, CP-corrected by the authors); f_line the authors' SDEM fit read under the
# same marker (empty where their line stops short of it).  dJv/df are READING errors only.
g004b,MgSO4,Cl,left,19.181,0.07,1.2151,0.0168,1.127,clean,820.5,997.0,48x47
g004b,MgSO4,Cl,left,26.857,0.07,1.4916,0.0168,1.459,clean,1044.0,964.0,49x47
g004b,MgSO4,Cl,left,34.722,0.07,1.8268,0.0168,1.8074,clean,1273.0,924.0,49x47
g004b,MgSO4,Cl,left,43.12,0.07,2.1369,0.0168,2.185,clean,1517.5,887.0,48x47
g004b,MgSO4,Cl,left,53.784,0.07,2.3128,0.0168,2.6649,clean,1828.0,866.0,47x47
g004b,MgSO4,NO3,left,7.23,0.07,0.419,0.0168,0.4398,clean,472.5,1092.0,48x45
g004b,MgSO4,NO3,left,11.574,0.07,0.4777,0.0168,0.4714,clean,599.0,1085.0,49x47
g004b,MgSO4,NO3,left,19.164,0.07,0.5866,0.0168,0.5595,clean,820.0,1072.0,49x47
g004b,MgSO4,NO3,left,26.875,0.07,0.6872,0.0168,0.6676,clean,1044.5,1060.0,48x47
g004b,MgSO4,NO3,left,34.722,0.07,0.7877,0.0168,0.7854,clean,1273.0,1048.0,49x47
g004b,MgSO4,NO3,left,43.12,0.07,0.9134,0.0168,0.9165,clean,1517.5,1033.0,48x47
g004b,MgSO4,NO3,left,53.784,0.07,0.9553,0.0168,1.0963,clean,1828.0,1028.0,47x47
