# Experimental solubility data -- Prof. Fatima Farelo (IST/DEQ)
# Farelo, Fernandes & Avelino, J. Chem. Eng. Data 50 (2005) 1470-1477. DOI 10.1021/je050111j.
# Saturated-solution molalities (mol per kg water). Full transcription of the paper's data tables.
# type: binary | saturation | invariant.  (NaCl/KCl pure-water binaries are from the Table 12 smoothing eqs.)
#
system,T_K,salt1,m1_molkg,salt2,m2_molkg,solid,type
KCl+AlCl3,318.2,KCl,0.958,AlCl3,2.53,KCl,saturation
KCl+AlCl3,319.0,KCl,3.629,AlCl3,0.749,KCl,saturation
KCl+AlCl3,319.8,KCl,0.705,AlCl3,3.13,KCl,saturation
KCl+AlCl3,320.3,KCl,4.642,AlCl3,0.375,KCl,saturation
KCl+AlCl3,320.3,KCl,0.911,AlCl3,2.71,KCl,saturation
KCl+AlCl3,320.4,KCl,1.16,AlCl3,2.14,KCl,saturation
KCl+AlCl3,320.8,KCl,2.254,AlCl3,1.39,KCl,saturation
KCl+AlCl3,322.0,KCl,1.468,AlCl3,1.88,KCl,saturation
KCl+AlCl3,322.8,KCl,0.808,AlCl3,2.96,KCl,saturation
KCl+AlCl3,323.1,KCl,0.751,AlCl3,3.14,invariant,invariant
KCl+AlCl3,323.1,KCl,0.653,AlCl3,3.21,AlCl3.6H2O,saturation
KCl+AlCl3,323.2,KCl,0.253,AlCl3,3.39,AlCl3.6H2O,saturation
KCl+AlCl3,323.2,KCl,0.19,AlCl3,3.4,AlCl3.6H2O,saturation
KCl+AlCl3,323.3,KCl,0.466,AlCl3,3.31,AlCl3.6H2O,saturation
KCl+AlCl3,323.5,KCl,2.94,AlCl3,1.13,KCl,saturation
KCl+AlCl3,324.8,KCl,4.784,AlCl3,0.375,KCl,saturation
KCl+AlCl3,325.2,KCl,1.254,AlCl3,2.14,KCl,saturation
KCl+AlCl3,325.3,KCl,1.615,AlCl3,1.88,KCl,saturation
KCl+AlCl3,325.8,KCl,1.003,AlCl3,2.71,KCl,saturation
KCl+AlCl3,326.4,KCl,1.22,AlCl3,2.24,KCl,saturation
KCl+AlCl3,326.7,KCl,3.897,AlCl3,0.749,KCl,saturation
KCl+AlCl3,327.4,KCl,0.805,AlCl3,3.13,KCl,saturation
KCl+AlCl3,327.6,KCl,1.157,AlCl3,2.53,KCl,saturation
KCl+AlCl3,329.0,KCl,1.36,AlCl3,2.14,KCl,saturation
KCl+AlCl3,329.5,KCl,1.072,AlCl3,2.7,KCl,saturation
KCl+AlCl3,329.6,KCl,2.555,AlCl3,1.39,KCl,saturation
KCl+AlCl3,330.8,KCl,1.721,AlCl3,1.88,KCl,saturation
KCl+AlCl3,330.9,KCl,0.947,AlCl3,2.99,KCl,saturation
KCl+AlCl3,331.7,KCl,3.246,AlCl3,1.13,KCl,saturation
KCl+AlCl3,332.8,KCl,0.797,AlCl3,3.28,AlCl3.6H2O,saturation
KCl+AlCl3,333.1,KCl,0.189,AlCl3,3.43,AlCl3.6H2O,saturation
KCl+AlCl3,333.3,KCl,0.96,AlCl3,3.17,invariant,invariant
KCl+AlCl3,333.3,KCl,0.461,AlCl3,3.38,AlCl3.6H2O,saturation
KCl+AlCl3,333.4,KCl,0.384,AlCl3,3.4,AlCl3.6H2O,saturation
KCl+AlCl3,334.6,KCl,4.18,AlCl3,0.749,KCl,saturation
KCl+AlCl3,334.7,KCl,1.866,AlCl3,1.88,KCl,saturation
KCl+AlCl3,335.0,KCl,1.183,AlCl3,2.71,KCl,saturation
KCl+AlCl3,335.2,KCl,5.093,AlCl3,0.375,KCl,saturation
KCl+AlCl3,335.2,KCl,0.999,AlCl3,2.96,KCl,saturation
KCl+AlCl3,336.0,KCl,1.034,AlCl3,2.99,KCl,saturation
KCl+AlCl3,336.5,KCl,1.011,AlCl3,3.13,KCl,saturation
KCl+AlCl3,336.5,KCl,0.914,AlCl3,3.23,AlCl3.6H2O,saturation
KCl+AlCl3,337.8,KCl,1.978,AlCl3,1.88,KCl,saturation
KCl+AlCl3,338.3,KCl,5.227,AlCl3,0.375,KCl,saturation
KCl+AlCl3,341.1,KCl,4.416,AlCl3,0.749,KCl,saturation
KCl+LiCl,293.0,KCl,3.122,LiCl,1.97,KCl,saturation
KCl+LiCl,293.5,KCl,0.56,LiCl,17.5,KCl,saturation
KCl+LiCl,294.0,KCl,0.539,LiCl,16.8,KCl,saturation
KCl+LiCl,294.7,KCl,0.475,LiCl,13.1,KCl,saturation
KCl+LiCl,295.0,KCl,0.477,LiCl,12.7,KCl,saturation
KCl+LiCl,296.4,KCl,1.286,LiCl,5.94,KCl,saturation
KCl+LiCl,296.9,KCl,0.65,LiCl,9.32,KCl,saturation
KCl+LiCl,297.0,KCl,0.606,LiCl,17.5,KCl,saturation
KCl+LiCl,297.2,KCl,2.089,LiCl,3.93,KCl,saturation
KCl+LiCl,297.6,KCl,0.994,LiCl,7.05,KCl,saturation
KCl+LiCl,298.2,KCl,0.87,LiCl,19.7,invariant,invariant
KCl+LiCl,298.3,KCl,3.982,LiCl,1.0,KCl,saturation
KCl+LiCl,298.4,KCl,3.346,LiCl,1.97,KCl,saturation
KCl+LiCl,298.5,KCl,0.489,LiCl,12.7,KCl,saturation
KCl+LiCl,298.5,KCl,0.672,LiCl,18.8,KCl,saturation
KCl+LiCl,298.8,KCl,0.555,LiCl,10.61,KCl,saturation
KCl+LiCl,299.8,KCl,0.672,LiCl,17.5,KCl,saturation
KCl+LiCl,300.0,KCl,0.534,LiCl,12.7,KCl,saturation
KCl+LiCl,300.0,KCl,0.516,LiCl,14.1,KCl,saturation
KCl+LiCl,301.2,KCl,0.555,LiCl,15.5,KCl,saturation
KCl+LiCl,301.3,KCl,0.676,LiCl,17.5,KCl,saturation
KCl+LiCl,301.4,KCl,2.206,LiCl,3.93,KCl,saturation
KCl+LiCl,301.4,KCl,0.718,LiCl,9.32,KCl,saturation
KCl+LiCl,302.1,KCl,0.739,LiCl,18.8,KCl,saturation
KCl+LiCl,302.5,KCl,0.564,LiCl,13.1,KCl,saturation
KCl+LiCl,302.5,KCl,0.694,LiCl,17.5,KCl,saturation
KCl+LiCl,302.6,KCl,4.158,LiCl,1.0,KCl,saturation
KCl+LiCl,303.2,KCl,0.589,LiCl,12.7,KCl,saturation
KCl+LiCl,303.2,KCl,0.98,LiCl,20.1,invariant,invariant
KCl+LiCl,303.3,KCl,1.11,LiCl,7.05,KCl,saturation
KCl+LiCl,303.5,KCl,0.62,LiCl,10.61,KCl,saturation
KCl+LiCl,303.7,KCl,3.528,LiCl,1.97,KCl,saturation
KCl+LiCl,304.5,KCl,1.448,LiCl,5.94,KCl,saturation
KCl+LiCl,305.0,KCl,0.681,LiCl,16.8,KCl,saturation
KCl+LiCl,307.8,KCl,0.805,LiCl,17.5,KCl,saturation
KCl+LiCl,308.2,KCl,4.367,LiCl,1.0,KCl,saturation
KCl+LiCl,308.2,KCl,2.417,LiCl,3.93,KCl,saturation
KCl+LiCl,308.2,KCl,1.19,LiCl,7.05,KCl,saturation
KCl+LiCl,308.4,KCl,0.698,LiCl,15.5,KCl,saturation
KCl+LiCl,308.5,KCl,0.736,LiCl,10.61,KCl,saturation
KCl+LiCl,308.6,KCl,3.682,LiCl,1.97,KCl,saturation
KCl+LiCl,308.6,KCl,1.522,LiCl,5.94,KCl,saturation
KCl+LiCl,308.9,KCl,0.735,LiCl,16.8,KCl,saturation
KCl+LiCl,309.3,KCl,0.874,LiCl,18.8,KCl,saturation
KCl+LiCl,310.1,KCl,0.823,LiCl,9.32,KCl,saturation
KCl+LiCl,312.3,KCl,4.538,LiCl,1.0,KCl,saturation
KCl+LiCl,312.3,KCl,0.67,LiCl,13.1,KCl,saturation
KCl+LiCl,312.5,KCl,0.77,LiCl,10.61,KCl,saturation
KCl+LiCl,312.7,KCl,1.312,LiCl,7.05,KCl,saturation
KCl+LiCl,313.1,KCl,1.22,LiCl,21.0,invariant,invariant
KCl+LiCl,313.5,KCl,2.601,LiCl,3.93,KCl,saturation
KCl+LiCl,313.5,KCl,0.872,LiCl,17.5,KCl,saturation
KCl+LiCl,313.7,KCl,3.886,LiCl,1.97,KCl,saturation
KCl+LiCl,313.7,KCl,1.66,LiCl,5.94,KCl,saturation
KCl+LiCl,314.1,KCl,0.83,LiCl,16.8,KCl,saturation
KCl+LiCl,315.1,KCl,0.931,LiCl,9.32,KCl,saturation
KCl+LiCl,316.0,KCl,0.914,LiCl,17.5,KCl,saturation
KCl+LiCl,316.4,KCl,1.006,LiCl,18.8,KCl,saturation
KCl+LiCl,316.8,KCl,4.712,LiCl,1.0,KCl,saturation
KCl+LiCl,317.4,KCl,0.862,LiCl,15.5,KCl,saturation
KCl+LiCl,317.4,KCl,0.939,LiCl,17.5,KCl,saturation
KCl+LiCl,318.0,KCl,2.748,LiCl,3.93,KCl,saturation
KCl+LiCl,318.0,KCl,0.786,LiCl,12.7,KCl,saturation
KCl+LiCl,318.3,KCl,4.018,LiCl,1.97,KCl,saturation
KCl+LiCl,318.6,KCl,1.788,LiCl,5.94,KCl,saturation
KCl+LiCl,318.7,KCl,0.917,LiCl,10.61,KCl,saturation
KCl+LiCl,319.5,KCl,0.781,LiCl,13.1,KCl,saturation
KCl+LiCl,322.2,KCl,4.874,LiCl,1.0,KCl,saturation
KCl+LiCl,322.4,KCl,1.063,LiCl,9.32,KCl,saturation
KCl+LiCl,323.1,KCl,1.881,LiCl,5.94,KCl,saturation
KCl+LiCl,323.1,KCl,1.42,LiCl,21.9,invariant,invariant
KCl+LiCl,323.3,KCl,0.855,LiCl,14.1,KCl,saturation
KCl+LiCl,323.5,KCl,4.211,LiCl,1.97,KCl,saturation
KCl+LiCl,323.5,KCl,0.954,LiCl,10.61,KCl,saturation
KCl+LiCl,323.7,KCl,0.952,LiCl,16.8,KCl,saturation
KCl+LiCl,323.7,KCl,1.041,LiCl,17.5,KCl,saturation
KCl+LiCl,324.0,KCl,0.93,LiCl,12.7,KCl,saturation
KCl+LiCl,324.0,KCl,1.153,LiCl,18.8,KCl,saturation
KCl+LiCl,324.1,KCl,2.94,LiCl,3.93,KCl,saturation
KCl+LiCl,324.1,KCl,1.575,LiCl,7.05,KCl,saturation
KCl+LiCl,324.5,KCl,0.874,LiCl,13.1,KCl,saturation
KCl+LiCl,324.7,KCl,0.955,LiCl,15.5,KCl,saturation
KCl+LiCl,325.9,KCl,0.907,LiCl,14.1,KCl,saturation
KCl+LiCl,326.7,KCl,1.089,LiCl,17.5,KCl,saturation
KCl+LiCl,326.9,KCl,1.021,LiCl,15.5,KCl,saturation
KCl+LiCl,327.0,KCl,1.168,LiCl,9.32,KCl,saturation
KCl+LiCl,327.2,KCl,0.946,LiCl,12.7,KCl,saturation
KCl+LiCl,328.6,KCl,1.08,LiCl,10.61,KCl,saturation
KCl+LiCl,329.1,KCl,2.029,LiCl,5.94,KCl,saturation
KCl+LiCl,329.4,KCl,0.961,LiCl,14.1,KCl,saturation
KCl+LiCl,329.8,KCl,1.047,LiCl,15.5,KCl,saturation
KCl+LiCl,330.1,KCl,1.144,LiCl,17.5,KCl,saturation
KCl+LiCl,331.9,KCl,1.019,LiCl,13.1,KCl,saturation
KCl+LiCl,332.1,KCl,1.074,LiCl,12.7,KCl,saturation
KCl+LiCl,332.2,KCl,1.275,LiCl,18.8,KCl,saturation
KCl+LiCl,332.8,KCl,1.745,LiCl,7.05,KCl,saturation
KCl+LiCl,332.8,KCl,1.132,LiCl,16.8,KCl,saturation
KCl+LiCl,332.8,KCl,1.209,LiCl,17.5,KCl,saturation
KCl+LiCl,332.9,KCl,4.583,LiCl,1.97,KCl,saturation
KCl+LiCl,333.0,KCl,1.72,LiCl,23.2,invariant,invariant
KCl+LiCl,333.9,KCl,2.163,LiCl,5.94,KCl,saturation
KCl+LiCl,335.5,KCl,1.368,LiCl,9.32,KCl,saturation
NaCl+AlCl3,295.1,NaCl,1.135,AlCl3,1.88,NaCl,saturation
NaCl+AlCl3,296.2,NaCl,0.733,AlCl3,2.25,NaCl,saturation
NaCl+AlCl3,296.9,NaCl,1.959,AlCl3,1.51,NaCl,saturation
NaCl+AlCl3,297.8,NaCl,1.158,AlCl3,1.88,NaCl,saturation
NaCl+AlCl3,298.0,NaCl,4.474,AlCl3,0.555,NaCl,saturation
NaCl+AlCl3,298.1,NaCl,0.17,AlCl3,3.24,invariant,invariant
NaCl+AlCl3,298.1,NaCl,0.086,AlCl3,3.28,AlCl3.6H2O,saturation
NaCl+AlCl3,298.1,NaCl,0.092,AlCl3,3.3,AlCl3.6H2O,saturation
NaCl+AlCl3,298.2,NaCl,0.138,AlCl3,3.26,AlCl3.6H2O,saturation
NaCl+AlCl3,298.7,NaCl,2.885,AlCl3,1.13,NaCl,saturation
NaCl+AlCl3,299.0,NaCl,3.912,AlCl3,0.75,NaCl,saturation
NaCl+AlCl3,299.0,NaCl,3.292,AlCl3,0.984,NaCl,saturation
NaCl+AlCl3,299.2,NaCl,5.027,AlCl3,0.373,NaCl,saturation
NaCl+AlCl3,299.5,NaCl,0.212,AlCl3,2.97,NaCl,saturation
NaCl+AlCl3,300.1,NaCl,1.163,AlCl3,1.89,NaCl,saturation
NaCl+AlCl3,300.7,NaCl,2.923,AlCl3,1.13,NaCl,saturation
NaCl+AlCl3,300.8,NaCl,0.306,AlCl3,2.79,NaCl,saturation
NaCl+AlCl3,301.3,NaCl,5.045,AlCl3,0.373,NaCl,saturation
NaCl+AlCl3,301.5,NaCl,0.803,AlCl3,2.25,NaCl,saturation
NaCl+AlCl3,302.0,NaCl,2.903,AlCl3,1.14,NaCl,saturation
NaCl+AlCl3,303.2,NaCl,0.092,AlCl3,3.31,AlCl3.6H2O,saturation
NaCl+AlCl3,303.4,NaCl,0.19,AlCl3,3.28,invariant,invariant
NaCl+AlCl3,303.5,NaCl,0.137,AlCl3,3.29,AlCl3.6H2O,saturation
NaCl+AlCl3,303.7,NaCl,3.329,AlCl3,0.984,NaCl,saturation
NaCl+AlCl3,304.6,NaCl,2.938,AlCl3,1.13,NaCl,saturation
NaCl+AlCl3,304.8,NaCl,0.343,AlCl3,2.79,NaCl,saturation
NaCl+AlCl3,305.6,NaCl,4.53,AlCl3,0.555,NaCl,saturation
NaCl+AlCl3,306.5,NaCl,3.984,AlCl3,0.75,NaCl,saturation
NaCl+AlCl3,306.7,NaCl,5.084,AlCl3,0.373,NaCl,saturation
NaCl+AlCl3,306.7,NaCl,0.282,AlCl3,2.97,NaCl,saturation
NaCl+AlCl3,307.5,NaCl,2.946,AlCl3,1.14,NaCl,saturation
NaCl+AlCl3,307.9,NaCl,2.054,AlCl3,1.51,NaCl,saturation
NaCl+AlCl3,307.9,NaCl,1.284,AlCl3,1.88,NaCl,saturation
NaCl+AlCl3,309.8,NaCl,0.866,AlCl3,2.25,NaCl,saturation
NaCl+AlCl3,310.1,NaCl,0.372,AlCl3,2.79,NaCl,saturation
NaCl+AlCl3,310.3,NaCl,1.285,AlCl3,1.89,NaCl,saturation
NaCl+AlCl3,310.7,NaCl,3.389,AlCl3,0.984,NaCl,saturation
NaCl+AlCl3,310.9,NaCl,0.169,AlCl3,3.31,AlCl3.6H2O,saturation
NaCl+AlCl3,311.3,NaCl,4.016,AlCl3,0.75,NaCl,saturation
NaCl+AlCl3,311.3,NaCl,0.19,AlCl3,3.3,AlCl3.6H2O,saturation
NaCl+AlCl3,311.6,NaCl,4.597,AlCl3,0.555,NaCl,saturation
NaCl+AlCl3,312.5,NaCl,5.12,AlCl3,0.373,NaCl,saturation
NaCl+AlCl3,313.1,NaCl,0.136,AlCl3,3.33,AlCl3.6H2O,saturation
NaCl+AlCl3,313.2,NaCl,0.21,AlCl3,3.33,invariant,invariant
NaCl+AlCl3,313.2,NaCl,0.085,AlCl3,3.36,AlCl3.6H2O,saturation
NaCl+AlCl3,313.3,NaCl,2.117,AlCl3,1.51,NaCl,saturation
NaCl+AlCl3,313.3,NaCl,0.091,AlCl3,3.36,AlCl3.6H2O,saturation
NaCl+AlCl3,313.9,NaCl,0.312,AlCl3,2.97,NaCl,saturation
NaCl+AlCl3,314.6,NaCl,3.018,AlCl3,1.14,NaCl,saturation
NaCl+AlCl3,314.8,NaCl,4.602,AlCl3,0.555,NaCl,saturation
NaCl+AlCl3,316.4,NaCl,1.369,AlCl3,1.88,NaCl,saturation
NaCl+AlCl3,316.4,NaCl,0.922,AlCl3,2.25,NaCl,saturation
NaCl+AlCl3,316.7,NaCl,4.063,AlCl3,0.75,NaCl,saturation
NaCl+AlCl3,316.7,NaCl,3.434,AlCl3,0.984,NaCl,saturation
NaCl+AlCl3,317.2,NaCl,1.332,AlCl3,1.89,NaCl,saturation
NaCl+AlCl3,319.1,NaCl,2.179,AlCl3,1.51,NaCl,saturation
NaCl+AlCl3,319.2,NaCl,1.366,AlCl3,1.89,NaCl,saturation
NaCl+AlCl3,319.5,NaCl,0.24,AlCl3,3.28,NaCl,saturation
NaCl+AlCl3,320.0,NaCl,0.342,AlCl3,2.97,NaCl,saturation
NaCl+AlCl3,320.2,NaCl,4.104,AlCl3,0.75,NaCl,saturation
NaCl+AlCl3,321.5,NaCl,0.451,AlCl3,2.79,NaCl,saturation
NaCl+AlCl3,321.8,NaCl,3.488,AlCl3,0.984,NaCl,saturation
NaCl+AlCl3,322.3,NaCl,3.114,AlCl3,1.13,NaCl,saturation
NaCl+AlCl3,322.9,NaCl,0.21,AlCl3,3.31,AlCl3.6H2O,saturation
NaCl+AlCl3,323.1,NaCl,0.23,AlCl3,3.3,invariant,invariant
NaCl+AlCl3,323.2,NaCl,4.68,AlCl3,0.555,NaCl,saturation
NaCl+AlCl3,323.2,NaCl,2.245,AlCl3,1.51,NaCl,saturation
NaCl+AlCl3,323.2,NaCl,0.19,AlCl3,3.34,AlCl3.6H2O,saturation
NaCl+AlCl3,323.2,NaCl,0.084,AlCl3,3.39,AlCl3.6H2O,saturation
NaCl+AlCl3,325.1,NaCl,0.37,AlCl3,2.97,NaCl,saturation
NaCl+AlCl3,325.6,NaCl,1.457,AlCl3,1.88,NaCl,saturation
NaCl+AlCl3,325.8,NaCl,0.996,AlCl3,2.25,NaCl,saturation
NaCl+AlCl3,326.0,NaCl,4.151,AlCl3,0.75,NaCl,saturation
NaCl+AlCl3,326.0,NaCl,3.528,AlCl3,0.984,NaCl,saturation
NaCl+AlCl3,326.3,NaCl,1.43,AlCl3,1.89,NaCl,saturation
NaCl+AlCl3,326.5,NaCl,3.163,AlCl3,1.13,NaCl,saturation
NaCl+AlCl3,327.9,NaCl,0.493,AlCl3,2.79,NaCl,saturation
NaCl+AlCl3,328.9,NaCl,2.297,AlCl3,1.51,NaCl,saturation
NaCl+AlCl3,329.5,NaCl,3.168,AlCl3,1.13,NaCl,saturation
NaCl+AlCl3,330.4,NaCl,5.252,AlCl3,0.373,NaCl,saturation
NaCl+AlCl3,330.4,NaCl,4.192,AlCl3,0.75,NaCl,saturation
NaCl+AlCl3,330.8,NaCl,4.733,AlCl3,0.555,NaCl,saturation
NaCl+AlCl3,332.5,NaCl,0.408,AlCl3,2.97,NaCl,saturation
NaCl+AlCl3,332.6,NaCl,4.754,AlCl3,0.555,NaCl,saturation
NaCl+AlCl3,332.8,NaCl,1.544,AlCl3,1.88,NaCl,saturation
NaCl+AlCl3,333.1,NaCl,0.134,AlCl3,3.44,AlCl3.6H2O,saturation
NaCl+AlCl3,333.2,NaCl,0.23,AlCl3,3.41,AlCl3.6H2O,saturation
NaCl+AlCl3,333.4,NaCl,0.084,AlCl3,3.43,AlCl3.6H2O,saturation
NaCl+AlCl3,333.5,NaCl,0.297,AlCl3,3.28,NaCl,saturation
NaCl+AlCl3,333.9,NaCl,0.51,AlCl3,2.79,NaCl,saturation
NaCl+AlCl3,333.9,NaCl,0.29,AlCl3,3.4,invariant,invariant
NaCl+AlCl3,335.0,NaCl,3.249,AlCl3,1.13,NaCl,saturation
NaCl+AlCl3,336.1,NaCl,2.355,AlCl3,1.51,NaCl,saturation
NaCl+LiCl,293.1,NaCl,5.151,LiCl,1.09,NaCl,saturation
NaCl+LiCl,293.8,NaCl,4.239,LiCl,1.97,NaCl,saturation
NaCl+LiCl,293.8,NaCl,1.372,LiCl,5.8,NaCl,saturation
NaCl+LiCl,294.8,NaCl,2.546,LiCl,3.91,NaCl,saturation
NaCl+LiCl,295.7,NaCl,0.086,LiCl,12.7,NaCl,saturation
NaCl+LiCl,297.6,NaCl,0.342,LiCl,9.67,NaCl,saturation
NaCl+LiCl,297.8,NaCl,4.286,LiCl,1.97,NaCl,saturation
NaCl+LiCl,297.8,NaCl,0.033,LiCl,19.1,NaCl,saturation
NaCl+LiCl,298.0,NaCl,1.398,LiCl,5.8,NaCl,saturation
NaCl+LiCl,298.2,NaCl,0.034,LiCl,19.8,invariant,invariant
NaCl+LiCl,298.5,NaCl,0.239,LiCl,10.61,NaCl,saturation
NaCl+LiCl,298.8,NaCl,0.152,LiCl,11.75,NaCl,saturation
NaCl+LiCl,299.1,NaCl,0.059,LiCl,14.2,NaCl,saturation
NaCl+LiCl,299.8,NaCl,0.043,LiCl,17.5,NaCl,saturation
NaCl+LiCl,300.0,NaCl,2.623,LiCl,3.91,NaCl,saturation
NaCl+LiCl,300.6,NaCl,5.182,LiCl,1.09,NaCl,saturation
NaCl+LiCl,303.1,NaCl,1.448,LiCl,5.8,NaCl,saturation
NaCl+LiCl,303.4,NaCl,4.329,LiCl,1.97,NaCl,saturation
NaCl+LiCl,303.7,NaCl,0.109,LiCl,12.7,NaCl,saturation
NaCl+LiCl,303.9,NaCl,0.043,LiCl,20.5,invariant,invariant
NaCl+LiCl,304.1,NaCl,0.045,LiCl,19.1,NaCl,saturation
NaCl+LiCl,304.7,NaCl,0.086,LiCl,14.2,NaCl,saturation
NaCl+LiCl,305.5,NaCl,0.047,LiCl,16.6,NaCl,saturation
NaCl+LiCl,306.0,NaCl,0.25,LiCl,10.61,NaCl,saturation
NaCl+LiCl,306.3,NaCl,0.386,LiCl,9.67,NaCl,saturation
NaCl+LiCl,306.4,NaCl,0.18,LiCl,11.75,NaCl,saturation
NaCl+LiCl,308.0,NaCl,5.262,LiCl,1.09,NaCl,saturation
NaCl+LiCl,308.0,NaCl,1.515,LiCl,5.8,NaCl,saturation
NaCl+LiCl,308.3,NaCl,2.694,LiCl,3.91,NaCl,saturation
NaCl+LiCl,309.4,NaCl,4.375,LiCl,1.97,NaCl,saturation
NaCl+LiCl,311.8,NaCl,0.057,LiCl,19.1,NaCl,saturation
NaCl+LiCl,312.0,NaCl,0.052,LiCl,17.5,NaCl,saturation
NaCl+LiCl,312.1,NaCl,0.052,LiCl,16.6,NaCl,saturation
NaCl+LiCl,313.1,NaCl,0.058,LiCl,21.1,invariant,invariant
NaCl+LiCl,314.2,NaCl,0.207,LiCl,11.75,NaCl,saturation
NaCl+LiCl,314.3,NaCl,0.097,LiCl,14.2,NaCl,saturation
NaCl+LiCl,314.5,NaCl,0.298,LiCl,10.61,NaCl,saturation
NaCl+LiCl,314.6,NaCl,4.43,LiCl,1.97,NaCl,saturation
NaCl+LiCl,315.8,NaCl,0.428,LiCl,9.67,NaCl,saturation
NaCl+LiCl,316.4,NaCl,0.071,LiCl,16.6,NaCl,saturation
NaCl+LiCl,317.1,NaCl,4.447,LiCl,1.97,NaCl,saturation
